Timestamp,Whats your X username?,Whats your discord username?,Do you follow jumpnads? (Jumpnads X),Are you in jumpnads server? ( Discord),Have you played Jumpnads game?,What do you like and what do you dislike about the game? ( only answer if you have played),What is the one feature you want to see in future jumpnads game updates?,Whats your wallet address ? ( Monad EVM)
5/12/2025 15:29:35,@ashvord,ashvord77,Yes,Yes,No,"Love the music on there and the UI is pretty dope but I'm with mobile so can't play but minted an NFT💜
Still waiting to play on mobile ","Daily stacking reward is great 

What about one by one PVP mode or Champion Mode?  it will be fun and also more competetive I think . The winner or the winning team will take the prizepool 💜",0x5AA50AAff2182Cc26C49F89aF196Ba3F0A2FE0D9
5/12/2025 15:38:49,@johndypson,.dypso,Yes,Yes,No,,,0x48d4F8ca30822eD3ae271b468A0A66820730e7E8
5/12/2025 15:43:54,Mr_hbing,hulanbigxia,Yes,Yes,No,,,0xe2c13f496ba536243f852af08eaf27c7d19d44d8
5/12/2025 16:04:29,@jaydenvictrrrr,miamo5915,Yes,Yes,No,,,0x207A5Ee4b69F0595fA97979AeAcd27AfF4aA5102
5/12/2025 16:44:39,Tiiihzxvic,Tiiihzx1,Yes,Yes,No,,Collecting reward daily ,0x4D015CdE9eD1C8EEbee7149842D2A2A9F3eFEF55
5/12/2025 16:45:36,@ziamaza124,@ziama124,Yes,Yes,No,Phone version wen?,Phone version wen?,0x0d552a508bC6bda3CCC7129bb06ec6e962680Da6
5/12/2025 17:38:56,@984majiko,@koji__ji,Yes,Yes,No,Losing track of time and playing games,,0xa73EF92E106EFF6f5Ff6eEA544e87A92B3B35ae6
5/12/2025 17:42:10,@bagel39949617,@k_koji_,Yes,Yes,No,,,0x47D1c8482FaDD716835B43566a94286f277643Bc
5/12/2025 17:42:18,@kazu70655744868,@k_koji098,Yes,Yes,No,,,0x55230eFA8e6f892b58D2723Fb20b840C364A4D9b
5/12/2025 17:53:43,mrezajafariyan ,me9713,Yes,Yes,No,,best ui and entertainment ,0x1CbD1cd53dD1a91b15adE97F5D78bb54dB598538
5/12/2025 18:05:22,@Raa5ssa,therard,Yes,Yes,No,,,0x368eA033cc45DCe97a054c6148F4602267fAA87D
5/12/2025 19:22:08,Jull998,julii0707,Yes,Yes,No,,More another games,0xB24882dd237F1400454691883FCFB10F11884BB5
5/12/2025 20:19:54,@lehuuanhlam,@lehuuanhlam,Yes,Yes,No,,Have skill,0x4539F7E25D1397c53dD131aFdD19FA8Fd3717fb9
5/12/2025 23:01:10,@mastergabu001,@mastergabu001,Yes,Yes,No,I have not played the game ,More graphics ,0x41b4f4d72d80af77087e1ddcdbcaf85df96a899c
5/12/2025 23:47:18,@misol302117,migbird7,Yes,Yes,No,,,0xFD0B1d6dA425E19f1139934AF6D6eBFaeC290D6c
5/13/2025 0:21:14,0xzeynel,0xzeynel,Yes,Yes,No,,,0x319c1464880a2A4D5a3C6D626089298710f9b4f6
5/13/2025 0:58:19,Umairullah6713,Umairullah6713,Yes,Yes,No,"Still not played , ",I will share the experience in next form 💜,0x72B3921B6f2Ee80f8Fa80c67bED74ff5B5F3Ea41
5/13/2025 2:03:15,Piousweb3,Almutadeen,Yes,Yes,No,,,0x2d580ce203f8edc09593c1fdd77fe2720927f305
5/13/2025 2:39:06,Mamo_welde,mamowelde,Yes,Yes,No,I use my phone so it's not compatible for phone,May be if yiu could build a phone version and i know you're currently working on it so that is all,0x2fAd4f72D2509A7502e562b4de695E18BBe755A3
5/13/2025 2:46:56,Megersa_bayeneh,megersa_bayeneh,Yes,Yes,No,,,0x0AfE50903b3d02a9d7FA6555E43681AF0FbB8092
5/13/2025 3:04:00,@emTapd,@emad995,Yes,Yes,No,,,0x18f9599d2e1dce28dcb125bbb460613d30446b25
5/13/2025 3:14:03,hassanibnmuham6 ,Twicee00 ,Yes,Yes,No,,,0xB93fC3bB22bC102b41fE8AC68AcDf6555c832e01
5/13/2025 3:19:39,@unofficial_mf,Unofficial001,Yes,Yes,No,,,0x0BbADAf351945f1C78240b3a82f7751995c4F9a7
5/13/2025 14:07:57,singh13gill88,singh1388_72176,Yes,Yes,No,,Not much into games,0x686f901baf2ffc50aa08ce122b92ca8a49448ca9
5/13/2025 14:16:30,Cryptonic_1313,Cryptonic1313,Yes,Yes,No,,Sorry not played any games yet but willing to.,0x883BF5e887aDea540D0653537c356Aa2B471641E
5/13/2025 15:27:01,karan_kuma59372,texxu99,Yes,Yes,No,,,0xf4DCacdf4AF05A18f2B4718881c02F55F33208B1
5/14/2025 13:07:27,@Irdzannn,@Irdzan,Yes,Yes,No,no comment because i didn't play it,yes sir ,0x20C9f5AB0Fc5e4A8C4b38B99e00B3013a1445129
5/14/2025 13:08:26,@Adanilak87389,Andron2496,Yes,Yes,No,App,Yes,0x812cfE77041467dD4Cbb455Ce882Ff53b555D4BF
5/14/2025 13:09:49,@renjnnn_sh,ranjen0078,Yes,Yes,No,,,0xe724AD2D3988645BCb21c4C9a8B8Ee33496775C1
5/14/2025 13:10:06,Raifumustapha,Nightflare ☢️ ,Yes,Yes,No,,It should be able to be played on mobile and easier access to new comers ,0xc69af67236dfc4aeab283a9135c428da44f1ce84
5/14/2025 13:13:02,@Bussyboo112393,Blackdiamond322,Yes,Yes,No,,,0xcaA5d5D8Fd21fe3e3297683ca68d0c35FFA3Bf98
5/14/2025 13:15:04,@_its_zaddy,_cryptonomad_,Yes,Yes,No,,"Never played so i don't really know, a mobile version would do!",0x91cA00c9e98B805a1D1d1DeBBa91795d9297a50B
5/14/2025 13:15:05,@ogamelly,Flames001. ,Yes,Yes,No,,,0xf21dac98968a3bfd8795760a460a34d9c0819c2e
5/14/2025 13:26:38,Vastvoid911,Vastvoid911,Yes,Yes,No,,Good draws,0xc69af67236dfc4aeab283a9135c428da44f1ce84
5/14/2025 13:57:25,@kenzieblak,Kenzieblak,Yes,Yes,No,Haven't played yet but I will play today ,I will like to see jumpnads rumble ,0x27b0E9b558026b5cAfCF7718545183595e7168f0
5/14/2025 19:03:14,M_hbing,hulanbigxia,Yes,Yes,No,,,0xe2c13f496ba536243f852af08eaf27c7d19d44d8
5/14/2025 20:22:42,@ziamaza124,@ziama124,Yes,Yes,No,Waiting for mobile version ,Waiting for mobile version ,0x0d552a508bC6bda3CCC7129bb06ec6e962680Da6
5/14/2025 22:46:17,Shinyslime24 ,shinyhenry24,Yes,Yes,No,,It's open for everyone ,0xc69af67236dfc4aeab283a9135c428da44f1ce84
5/14/2025 22:47:01,Shinyslime24 ,shinyhenry24,Yes,Yes,No,,,0xc69af67236dfc4aeab283a9135c428da44f1ce84
5/14/2025 22:59:09,@CocoyTorre,Fujitora,Yes,Yes,No,N/a,That it will be available on mobile,0x482A782db4A5E04F4fC7C1344DD9bff4884527db
5/15/2025 4:24:40,@Raa5ssa,therard,Yes,Yes,No,,,0x368eA033cc45DCe97a054c6148F4602267fAA87D
5/15/2025 6:46:00,@solofall007,@soloalos,Yes,Yes,No,,,0x465e167dc4e506b2e95a530725a449e8d36e265c
5/15/2025 6:53:09,@hazemun,@hazemouz,Yes,Yes,No,,,0x3150f7d193Ba2BC8f94479A339839cFdf2f191B5
5/15/2025 7:45:38,@LightXKI,@janny6498,Yes,Yes,No,,I want is to be playable on Android soon,0x0a0303490f12a17dfd5be06323870dba53f99302
5/12/2025 12:43:36,Alireza_x66,Alireza_x66,Yes,Yes,Yes,,,0x5f5ce410d233bee8e46b05e465b293c92a0e9f3a
5/12/2025 12:43:48,@0xdoudja,dilan9090,Yes,Yes,Yes,"I'm like this game easy play and fun


I'm not like cuz sometimes website it's very low amd stuck in website home", Make application,0xf66cC0A53309FDe4Ca3D3475E11CBA88D414A846
5/12/2025 12:44:56,@namle5cu,@namle5cu,Yes,Yes,Yes,,I'm still researching so I don't know yet.,0x4be33B367cD205AEFf78c2394b5B09D5405d2082
5/12/2025 12:45:13,moleval2,moleval,Yes,Yes,Yes,,,0x0c07831b15e9c93e5d19abc74121cab1878a44bf
5/12/2025 12:46:16,@nregajal,ainzkun0831,Yes,Yes,Yes,"i like those string bonus it make me jump higher, i dislike that smiling monster (bat monster)","for now. my suggestion is every milestone, example you reach 1k jump. background is change and more animation for jumpy ",0xbe83424602c1054B1bcBf8ecCA5eD260b5c41e19
5/12/2025 12:47:04,Soleenads,Soleenads,Yes,Yes,Yes,Not on mobile,On mobile :)),0x2EbdFb0eea0364372B4A1a1D2A8142C60Ea54867
5/12/2025 12:47:25,@abilprawiraa,@abillbull,Yes,Yes,Yes,Jump,Everything is okay,0x02B2F7357d39346848f81b1C9a43088D9441bFc6
5/12/2025 12:47:38,@Tuan3939999,tuan_49363,Yes,Yes,Yes,Fun and intellectual,Everything is fine now,0xcBB05789BF46BE18Ff1c2918611A9d3628eb7470
5/12/2025 12:47:39,@Raa5ssa,therard,Yes,Yes,Yes,,,0x368eA033cc45DCe97a054c6148F4602267fAA87D
5/12/2025 12:48:16,jev3nchy,jevenchy,Yes,Yes,Yes,Only 1 game in and my finger’s already developing trauma. Add controller support please,LAN party mode and Controller support. Real JumpNads night with the boys.,0x0C1C67c66FCe45169072352d6364D0B60D5De933
5/12/2025 12:49:10,Kgb_nino,Kgb_nino,Yes,Yes,Yes,,,0xE73d44bFd2eAc865074EE81E80D1d4Fe351D5A67
5/12/2025 12:49:53,abram_clems,Kristtu,Yes,Yes,Yes,"Fun and exciting, still very simplified and interactive ",The ,0x6f16faa06a3490ce44051e62f8ff5fe5d3c2796e
5/12/2025 12:50:10,@cpt338,@cpt338,Yes,Yes,Yes,Basically I really like the idea and the concept. ,"I kinda like it, it’s fun. Hope it will run smoothly but this I believe will improve with the mainnet release.",0xa70fF05ad3f070e45330A75d2c34e59c62e88C07
5/12/2025 12:50:31,@NamDoNet,@trungvo11,Yes,Yes,Yes,good game,no strabismus,0x6797C9eEc48F067DC1a6c40f431b7637E4Abd930
5/12/2025 12:50:51,Nadtdl ,Nadtdl,Yes,Yes,Yes,,,0x2eFb9FB0a36770417bFeCcFB6Cf8a585D79ef534
5/12/2025 12:51:04,@matyouchtchenko,@MalevFR,Yes,Yes,Yes,the game is very interesting and reminds me of childhood,"Maybe it's worth changing the game's speed, sometimes it's very difficult to react.",0xaF6d5446C0729da929829Fa8F334F1b017238cb8
5/12/2025 12:51:48,@moxley_25,moxley_25,Yes,Yes,Yes,It won't lag i like the games which won't lag. ,Review atleast 1 chance ,0x9C19Abe9A565D9dEB14C7497f0dfDb4C691EC420
5/12/2025 12:52:08,Jiizone1,.jiiz,Yes,Yes,Yes,Guys i think u need to give prizes for top jumpers. I mean  except to reach top points i dont see reason to keep jumping all day. ( i will do it anyway),points exchange,0x015e265C80c26D65d65B245b350CBd881DAF61d2
5/12/2025 12:56:42,@Bundycop,bundy2297,Yes,Yes,Yes,"I simply love it, it gives me nostalgic vibes",big monad prizes from inside the ecosystem,0x19B338b1654f778443C27ef689ab5cDE5978EDae
5/12/2025 12:56:57,ducofog,ducofog,Yes,Yes,Yes,I blinked once and dropped. Add slow-mo mode for boomers like me,Needs WASD support just to feel like a true PC games and more skins,0x4Aeea275424ce0eA38ed4dbc0d997A2741d5103d
5/12/2025 12:57:19,@MONDIX24,#Mondix9582,Yes,Yes,Yes,I like the game because its fun,Rivive for free,0xa4095f44FC7A7c9f37ffe2B74635bb8946Db49D8
5/12/2025 12:58:42,Julianmonad_xyz,cpo91#8061,Yes,Yes,Yes,"What I like about this game is that it is easy to play and easy to understand. What is less enjoyable about this game is the overflow of white clouds which are sometimes not visible because the background is a picture of a blue sky and white clouds. But that's okay, that's part of the challenge of this game. Jumpnads",The feature I want to see is the shop feature. Will there be an item purchase that increases the ability to jump or not? I'm really curious.,0x219afcfa6666dea9a62dcb85fd98368c54c5ce1d
5/12/2025 12:59:07,@hsn_sol,roronoa55,Yes,Yes,Yes,the springs bouncing on the back,make the springs a little tighter,0xc738fa879cedf5c2ccec6d167c699261916a4f53
5/12/2025 12:59:24,Adhamel0,Adham.elhayek1,Yes,Yes,Yes,Iam waiting for phone app,Revive ,0x0293be3281727a8f5Fdef9e297f0dD34B4F233D1
5/12/2025 13:00:49,sida1324,kjngz,Yes,Yes,Yes,,,0x118bc7531a893a8cda347f0ad90d79437f55d04a
5/12/2025 13:01:33,@jumpnads,carlosspx,Yes,Yes,Yes,,,0x6BDa0404288459CdC35B95A0162636088DCCBee8
5/12/2025 13:03:03,@jorammxyz,madroeg,Yes,Yes,Yes,Very lively community and a lot of engagement.,Marketplace ,0xF41529fcEF3f91D4Cc9Eae4406e9326E77Fc3F05
5/12/2025 13:05:25,@ThaSavva,ZOGARAS,Yes,Yes,Yes,"It is a nice made game, It keeps me entertained for a while and I kinda want to play again after a few hours. I still feel sore about that time I did an epic score of over 7K and I got no txn at the end of it so I have nothing to show for it. ","Ok so I would like to see more enemies, For example the higher you go you could add a new enemy to come and bother me, like a purple winged monster that takes 2 hits to get killed.. Maybe a boss fight at 10k?  Also I would like to see more skins or other characters to jump with. Or even items that make a difference, for example you could buy shoes that make you jump higher or you could hold a gun and shoot 2 bullets at the same time..",0xCaaE828F9eA38eC8be10A54df085F360592112D2
5/12/2025 13:06:39,@god66363,@Lucky,Yes,Yes,Yes,Nice,Nice,0x12F5d5e0f9DF6b6C1e8ba40B35fE766b6A5FAEd9
5/12/2025 13:08:48,@Si_montok23,conspiracy23,Yes,Yes,Yes,yes,yes,0x4ce9444ab98962ae1cea3cfd00460bea3d67a17b
5/12/2025 13:12:49,@mephisto9142,@mephisto1239,Yes,Yes,Yes,"I have played the game on mobile inserting keyboard, i couldn't play it without it, i like the games mechanism a nostalgic feel, if the game also supports mobile it would be great",Tournaments with mon and wl rewards ,0xc564F8C1d23F94e5Cc7B3dEd992F7600E444fe30
5/12/2025 13:13:38,RintZStones,rome6989,Yes,Yes,Yes,My adrenaline is so get high and when I fall down,Play on mobile,0x701439c5d30CBb74857c97d9B3716e3874123905
5/12/2025 13:15:21,@badmusdamilar10,badmus3559,Yes,Yes,Yes,"I like the bouncer boosts
I dislike the high $MON token for revival",Different backgrounds ,0xDEb11a9de0Ae59A36C83bDBB94614469aBf04560
5/12/2025 13:18:22,@yashasr31,yashas0588 ,Yes,Yes,Yes,Like about jumping and dislike about early knockout ,Revives,0x80f4C66B9238CF2297deD585Aa365F19FCa9AB85
5/12/2025 13:20:59,@teo9x_try,Teo9x23,Yes,Yes,Yes,Xo,Jump,0x9E77c00189190372dDFe0D9a113055bf96379ad3
5/12/2025 13:21:29,Saamzzmonad,Saamzzzbro,Yes,Yes,Yes,i like to play gamess,more unique ness,0xAA3Ab86A8Cdcf88E25eAC157d71bef21d315433C
5/12/2025 13:22:26,naruto989898,naruto989898,Yes,Yes,Yes,I don’t know ,I don’t know ,0xb78f5996c5c5eabcd214fa1ad337adf6e7965d3c
5/12/2025 13:24:21,@rlawkdrns7777,abeururug,Yes,Yes,Yes,"I like the smooth gameplay and crypto rewards, but the tutorial needs improvement and matchmaking is a bit slow.",A real-time PvP mode with leaderboards and seasonal rewards would be great.,0xdFE97411d48A10BDca4083d00A49feA007BE2e24
5/12/2025 13:27:35,@overpro777new,profitcrypto2024,Yes,Yes,Yes,after Game Over only Home button active. Why other buttons not active?,"please make Quests, Rewards buttons active after Game Over",0xb637f8b662B6b967733A1dCE421102D8EA5E4284
5/12/2025 13:28:35,@atik00112,mdatik7628,Yes,Yes,Yes,I like the smoothness of the game.much faster,Revive fee lower,0xf7C4A8C88cF40b03A7E8d2d39f4DD5B01D02FB28
5/12/2025 13:32:10,@nothingtdo0_,h4ssan100,Yes,Yes,Yes,I liked the game,More smoothness in game,0xFe71989E1c067a8879408F1d525Cbd6D215cC245 
5/12/2025 13:32:35,@gnomanyamsuit,@tronjol_mahaasyik,Yes,Yes,Yes,I dont like while im play not smoothly🙏🏻,Stake an nft,0xd7400cBeA41E51c8ae07620B0A543C49fAF77045
5/12/2025 13:32:42,HritikMoon,Hritik737,Yes,Yes,Yes,"It's a simple jump games makes it interesting for fun, what I hate is me not being on top 100 😋",More weapons/powerups,0x4Dc3b7313Fc724B2d5E0a13aD73B9079019161cb
5/12/2025 13:32:45,Dethom135,Syntax94,Yes,Yes,Yes,I love the cool features ,Revive,0xc044baB62c012E448F0045eA96899B35761E2a4a
5/12/2025 13:33:21,@natdl ,nadtdl ,Yes,Yes,Yes,"No hope to get in top 100, my skill is so bag",I want some new character and reward by the level,0xb1cd042397dbf3485d0a3b901717e05c717ff5eb 
5/12/2025 13:35:07,@tammychemburlu,tammychemburlu,Yes,Yes,Yes,"i like the game for burning free time coz its fun

i dislike the for being similar on sakura a scam monad project",use nft characters,0x05462278a9141D72bc04B071A96D61759F02532B
5/12/2025 13:36:06,@FirmanWidya1,Firmanwidya,Yes,Yes,Yes,"I like jump, i dont like monster",Jumpnads mobile,0xE3327b4b25031Da36600B0323520f369381e08B0
5/12/2025 13:37:18,@Dadamofeoluwa,lynnicious.,Yes,Yes,Yes,,"It laggs on my on my phone, wish the Devs could use increase the bit of the game so the processing is faster ",0x581E3b5061498Fa7D3e5d1DF70771fbc27263208
5/12/2025 13:38:56,Remakw6900,Remakw,Yes,Yes,Yes,I like the fast jumps and i dislike that i cant disable gun sound while i hear the amazing music,Skins in my character,0xC4ed7ac0fF8bf037B728dB7B6195fAfCE7f21B06
5/12/2025 13:41:01,KaguraYuuto_,kagurablack,Yes,Yes,Yes,"Please add more feature maybe shield, wing, or etc","Can we create multiplayer room, so we can jump together like tournament (maybe you can check Stumble as references)",https://discord.com/channels/1232217719101853796/1275411147004317737/1371396819938054255
5/12/2025 13:42:48,DaddyAbeRadio,daddyabe.radio,Yes,Yes,Yes,"I love the game itself, reminds me back in University when I played Doodle Jump on an Android 1.6 (Donut) on my Xperia X10. Brings back memories and fun! Can't think of anything I dislike, especially since the team constantly pushes updates and fixes. LFG!","I have a lot of thoughts, but boiling it down to one feature to mention? This is hard lol. I guess probably a ""Wild"" mode? I've thought about that for the longest time when I played back in 2008. My thought process was like ""What if there was a toggle option before pressing the start button? Where 30%-40% of the platforms have been taken out, and your points get 1.5x or doubled, and random items or power-ups drop from the sky, or perhaps as you kill the monsters. And they can either be a buff or a debuff. Debuffs like making you jump faster giving you less time to react, or making your character shrink, etc for a couple of seconds, and buffs where your bullets triple or something like that."" There could be an entirely separate leaderboard for a Wild mode, just for kicks and fun, LOL.",0x256401cbb7696fbc4bcce339b5e85ad3696a650b
5/12/2025 13:46:44,@zynstillkids,@zynstillkids,Yes,Yes,Yes,"Its fun of course and this game make us addicted to, cuz is make us curious if we lose, and wanna try again and again.

what i dislike is, maybe for now is only support for PC. when i play on mobile, i can’t feel the hype for this game like everywhere.",skin shop,0xFeE5d79340dA7F922688Bd97dA9B9a56a1aeB67f
5/12/2025 13:48:47,@ILIR_30,ilir5056,Yes,Yes,Yes,"What i like is that the game is really fun with the whole concept of jumping and that makes me really enjoy it. 
What i dislike is the fact that now you need 0.5 mon to revive","Id like to see a feature rewards that real grinders can get.
Those rewards could be monad tokes, nfts, etc",0x3009580c628E5d3633e9A692a5BE3AC0A94ea850
5/12/2025 13:49:17,@dora914281,metiu,Yes,Yes,Yes,i do not like slow speed ,increase speed ,0x501D1f02eCa6D68493Ad4A4aeCE73Fc771264021
5/12/2025 13:50:13,@elin08358481,Elnaz asri ,Yes,Yes,Yes,,,0xD40Cd83Ccc145a26691a9ba97acc065Cc20E41f7
5/12/2025 13:50:39,Ibrahimhus4,Ibrahimhus3,Yes,Yes,Yes,"I like it because it's fun and interesting, but dislike it for it Laggs sometimes",Increase in speed and overall smoothness,0xe32a82833976e98d09dfbbc3e8924c894e4a35dc
5/12/2025 13:51:03,JerrInsight,2cool0485,Yes,Yes,Yes,"I like because it is a adictive game hahaha and also the music is so good jump jump jump when im not in front of my pc idk i sing that song hahaha, what i dont like is it is to fast in my PC and also the cloud for jump (who only can jump one times) need change the colour cause sometimes i cant see it. ",Marketplace that can sell or buy nft for avatar. And the backgrounds can change if we got more highest score. Like from earth and the to galaxy,0x9F59847E5102c0d8Cf9e2EC2Cb1c5d84076a37cf
5/12/2025 13:51:08,@MaminyaBule,cwitcwit,Yes,Yes,Yes,"I like that it is fun, and I am indeed a gamer xD I also like the song.
I dislike that my hands, eyes and mind can’t coordinate in harmony to keep my jumper from falling.","Mobile version, as Faiz announced there will be soon, but not sure I can have it on my phone as it’s too old that it doesn’t run the latest iOS.
Also, I’d love to have the shot spreads in 3-5 directions so I definitely can kill the monster easier xD",0x278998ff92bb0AD1Ae5175e38957caBf78Ae76F2
5/12/2025 13:52:23,@aguziepraise,@d3an123,Yes,Yes,Yes,It's okay ,It's fine ,0xf20d61c6CD2a67Ba4B733332fbaB5095F5E39de6
5/12/2025 13:54:40,@daraajayi123,@topaj1,Yes,Yes,Yes,I like it because it is easy and I dislike it when I don't see the arrow to move left and right,More lives,0x4eF8A36a9D7E4cBE699Bc4fe26615FD8744497fb
5/12/2025 13:55:41,@iamwhoiam73,@iamwhoiam73_16839,Yes,Yes,Yes,that monster mf,to have a boost to become transparent from monster,0x0C46Cfe167a2eB78dd88C175C8D61979ac7DBf79
5/12/2025 13:59:38,@siskanur05,@cadis0871,Yes,Yes,Yes,yes,yes,0x54c604ca96594F9233D7B533e8c85F6614d6E5Fb
5/12/2025 13:59:47,@DanishSaif79794,@saif40624,Yes,Yes,Yes,I played it and I liked it because this game did not hang at all and was running very smoothly. And I don't like the fact that this game can only be played by people who have a computer or laptop. I have many friends who can't play it.,You should make it for all devices in the future,0x5626F4576F12fC7444d4807eaF4610b82F6dD90D
5/12/2025 14:02:58,@Udaykir27902108,spirit#4899,Yes,Yes,Yes,,,0xeCA5F18213041257b1716BfCB504E893028C4a34
5/12/2025 14:06:02,Boboy_Antasha,boyhaque_,Yes,Yes,Yes,"I like the style of the game, jump and avoid the monster, This is very challenging because the higher the altitude, the more you have to focus. 

I hate when i lose the gameI hate when i lose the game 😈",Availeble on Smartphone ,0x8c922c21ab7cA9b73A71e3284eC8901772598121
5/12/2025 14:09:15,AdibS335079,ash_ley77,Yes,Yes,Yes,I love the game very much,No features ,0x69dc2Af3989E3F42B6824c16e2a3157e3fd6dBA5
